TIME             CONTAINER_ID  IMAGE            UID    COMM             PID/host        TID/host        RET              EVENT                     ARGS
03:27:23:829634  1cdeb56b485d  deploy-vuln-app: 0      python           1      /43819   40     /81014   0                clone                     flags: CLONE_VM|CLONE_FS|CLONE_FILES|CLONE_SIGHAND|CLONE_THREAD|CLONE_SYSVSEM|CLONE_SETTLS|CLONE_PARENT_SETTID|CLONE_CHILD_CLEARTID|CLONE_DETACHED, stack: 0x78db822f8a68, parent_tid: 0x78db822f8b68, child_tid: 0x78db84cc3f90, tls: 132884177324856
03:27:23:829673  1cdeb56b485d  deploy-vuln-app: 0      python           1      /43819   40     /81014   132884184186880  mmap                      addr: 0x0, length: 16384, prot: PROT_READ|PROT_WRITE, flags: 34, fd: -1, off: 0
03:27:23:829718  1cdeb56b485d  deploy-vuln-app: 0      Thread-35 (proc  1      /43819   40     /81014   132884176130048  mmap                      addr: 0x0, length: 131092, prot: PROT_READ|PROT_WRITE, flags: 34, fd: -1, off: 0
03:27:23:829752  1cdeb56b485d  deploy-vuln-app: 0      Thread-35 (proc  1      /43819   40     /81014   150              recvfrom                  sockfd: 4, buf: 0x78db821d5490, len: 131072, flags: 0, src_addr: map[sa_family:AF_UNSPEC], addrlen: 0x0
03:27:23:830198  1cdeb56b485d  deploy-vuln-app: 0      Thread-35 (proc  1      /43819   40     /81014   67               write                     fd: 2, buf: 0x78db842437e0, count: 67
03:27:23:830333  1cdeb56b485d  deploy-vuln-app: 0      Thread-35 (proc  1      /43819   40     /81014   165              sendto                    sockfd: 4, buf: 0x78db824c2f70, len: 165, flags: 0, dest_addr: map[sa_family:AF_UNSPEC], addrlen: 0
03:27:23:830405  1cdeb56b485d  deploy-vuln-app: 0      Thread-35 (proc  1      /43819   40     /81014   32               sendto                    sockfd: 4, buf: 0x78db82554910, len: 32, flags: 0, dest_addr: map[sa_family:AF_UNSPEC], addrlen: 0
03:27:23:831693  1cdeb56b485d  deploy-vuln-app: 0      Thread-35 (proc  1      /43819   40     /81014   132884166127616  mmap                      addr: 0x0, length: 10000053, prot: PROT_READ|PROT_WRITE, flags: 34, fd: -1, off: 0
03:27:23:831741  1cdeb56b485d  deploy-vuln-app: 0      Thread-35 (proc  1      /43819   40     /81014   0                recvfrom                  sockfd: 4, buf: 0x78db8184b4c0, len: 9961472, flags: 0, src_addr: map[sa_family:AF_UNSPEC], addrlen: 0x0
03:27:23:831777  1cdeb56b485d  deploy-vuln-app: 0      Thread-35 (proc  1      /43819   40     /81014   0                close                     fd: 5
03:27:23:831929  1cdeb56b485d  deploy-vuln-app: 0      Thread-35 (proc  1      /43819   40     /81014   0                close                     fd: 4
03:27:24:960677  1cdeb56b485d  deploy-vuln-app: 0      python           1      /43819   1      /43819   132884184203264  mmap                      addr: 0x0, length: 32768, prot: PROT_READ|PROT_WRITE, flags: 34, fd: -1, off: 0
03:27:24:960709  1cdeb56b485d  deploy-vuln-app: 0      python           1      /43819   1      /43819   132884176265216  mmap                      addr: 0x0, length: 1060864, prot: PROT_NONE, flags: 34, fd: -1, off: 0
03:27:24:960721  1cdeb56b485d  deploy-vuln-app: 0      python           1      /43819   1      /43819   41               clone                     flags: CLONE_VM|CLONE_FS|CLONE_FILES|CLONE_SIGHAND|CLONE_THREAD|CLONE_SYSVSEM|CLONE_SETTLS|CLONE_PARENT_SETTID|CLONE_CHILD_CLEARTID|CLONE_DETACHED, stack: 0x78db822f8a68, parent_tid: 0x78db822f8b68, child_tid: 0x78db84cc3f90, tls: 132884177324856
03:27:24:960721  1cdeb56b485d  deploy-vuln-app: 0      python           1      /43819   41     /81044   0                clone                     flags: CLONE_VM|CLONE_FS|CLONE_FILES|CLONE_SIGHAND|CLONE_THREAD|CLONE_SYSVSEM|CLONE_SETTLS|CLONE_PARENT_SETTID|CLONE_CHILD_CLEARTID|CLONE_DETACHED, stack: 0x78db822f8a68, parent_tid: 0x78db822f8b68, child_tid: 0x78db84cc3f90, tls: 132884177324856
03:27:24:960769  1cdeb56b485d  deploy-vuln-app: 0      python           1      /43819   41     /81044   132884184186880  mmap                      addr: 0x0, length: 16384, prot: PROT_READ|PROT_WRITE, flags: 34, fd: -1, off: 0
03:27:24:960834  1cdeb56b485d  deploy-vuln-app: 0      Thread-36 (proc  1      /43819   41     /81044   132884176130048  mmap                      addr: 0x0, length: 131092, prot: PROT_READ|PROT_WRITE, flags: 34, fd: -1, off: 0
03:27:24:960868  1cdeb56b485d  deploy-vuln-app: 0      Thread-36 (proc  1      /43819   41     /81044   249              recvfrom                  sockfd: 4, buf: 0x78db821d54c0, len: 131072, flags: 0, src_addr: map[sa_family:AF_UNSPEC], addrlen: 0x0
03:27:24:961378  1cdeb56b485d  deploy-vuln-app: 0      Thread-36 (proc  1      /43819   41     /81044   132884176060416  mmap                      addr: 0x0, length: 69632, prot: PROT_READ|PROT_WRITE, flags: 34, fd: -1, off: 0
